UNSPSC Number,UNSPSC Description
32151705,PROGRAMMABLE LOGIC CONTROLLER MODULE
32151801,LOAD SWITCH IEC
39101601,HALOGEN LAMPS
39101605,FLUORESCENT LAMPS
39111501,FLUORESCENT FIXTURES
39111520,HALOGEN LIGHTING FIXTURES
39111541,INTERIOR LIGHTING FIXTURE ACCESSORY
39111610,FLASHLIGHT
39111613,SECURITY LIGHTING
39112102,LIGHT EMITTING DIODE LED OPTIC LIGHTING
39121001,DISTRIBUTION POWER TRANSFORMERS
39121002,POWER SUPPLY TRANSFORMERS
39121004,POWER SUPPLY UNITS
39121006,POWER ADAPTERS OR INVERTERS
39121007,FREQUENCY CONVERTERS
39121008,SIGNAL CONVERTERS
39121009,ELECTRICAL OR POWER REGULATORS
39121010,MAGNETIC COILS
39121011,UNINTERRUPTIBLE POWER SUPPLY UPS
39121012,CHOKES
39121015,REACTORS
39121016,SLIP RINGS
39121017,POWER DISTRIBUTION UNITS PDUS
39121032,CURRENT TRANSFORMER
39121033,POTENTIAL TRANSFORMER
39121044,AUDIO FREQUENCY TRANSFORMER
39121103,PANELBOARDS
39121105,SWITCHGEAR SYSTEMS
39121106,POWER MONITORING OR CONTROL SYSTEMS
39121117,BUSS BAR
39121302,ENCLOSURE PLATES OR COVERS
39121303,ELECTRICAL BOXES
39121308,OUTLET BOX
39121309,SPECIALTY ELECTRICAL BOXES
39121311,ELECTRICAL FITTINGS
39121321,ELECTRICAL BOX HARDWARE AND ACCESSORIES
39121329,FUSE CABINET
39121402,ELECTRICAL PLUGS
3912140301,LOCKING PLUG ASSEMBLY
3912140302,LOCKING PLUG COMPONENT
39121404,ELECTRICAL SLEEVES
39121405,CABLE OR WIRE LUG
39121408,MECHANICAL CONNECTORS
39121410,TERMINAL BLOCKS
39121413,CIRCULAR CONNECTORS
39121421,ELECTRICAL CONNECTOR ASSEMBLY
39121424,TERMINAL BLOCK COVERS
39121426,JUMPER BAR
39121431,CABLE GLAND CONNECTOR
39121432,ELECTRICAL TERMINALS
39121440,ELECTRICAL EXTENSION CABLE
39121452,CABLE JOINT
39121459,PRINTED CIRCUIT BOARD PCB PRESS FIT HEADER CONNECTOR
39121462,TELECOMMUNICATION CONNECTOR
39121521,MOTOR STARTER CONTROLS
39121522,ELECTRICAL CONTACTS
39121523,TIMER CONTROLS
39121527,ENCODERS
39121528,PHOTOELECTRIC SENSORS
39121529,CONTACTORS
39121534,INDICATOR OR PILOT LIGHTS
39121545,EMERGENCY STOP DEVICE
39121561,PENDANT CONTROL STATION
39121601,CIRCUIT BREAKERS
39121603,MINIATURE CIRCUIT BREAKERS
39121604,TIME DELAY FUSES
39121605,PLUG FUSES
39121606,CARTRIDGE FUSES
39121607,GLASS BODY FUSES
39121609,MIDGET FUSES
39121610,SURGE SUPPRESSERS
39121611,CERAMIC FUSES
39121612,BLADE FUSES
39121617,FUSE PARTS OR ACCESSORIES
39121619,DIAZED OR BOTTLE FUSES
39121621,LIGHTNING PROTECTION APPARATUS AND ACCESSORIES
39121624,FUSE HOLDER
39121625,HIGH SPEED FUSE
39121628,SEMICONDUCTOR FUSE
39121629,FUSE BLOCK
39121703,CABLE TIES
39121705,CABLE CLAMP AND STAPLE
39121708,DIN RAIL
39121717,CABLE TIE MOUNTS
39121721,ELECTRICAL INSULATORS
39121722,WIRE AND CABLE PULLING DEVICE
39121723,HEAT SHRINKABLE TUBE
39121725,ELECTRICAL CABLE GRIP
39121906,PLUG AND CORD LOCKOUT
39122117,STRAIN POLE SUSPENSION YOKE
39122205,SAFETY SWITCH
39122210,PRESSURE SWITCH
39122213,LIMIT SWITCH
39122216,PUSH BUTTON SWITCH
39122219,LEVEL OR FLOAT SWITCH
39122221,SWITCH PART OR ACCESSORY
39122223,FLOW SWITCH
39122229,TEMPERATURE SWITCH
39122237,PANEL MOUNT SWITCH
39122315,ELECTROMAGNETIC RELAY
39122330,OVERLOAD RELAY
39122334,RELAY BOARD OR MULTIPLE RELAY MODULE
39131504,WIRE IDENTIFICATION MARKER
39131602,EXPANDABLE BRAIDED SLEEVING
3913160301,GROMMET EDGING-FLAT
3913160302,GROMMET EDGING-ROUND
3913170401,CABLE TRAY ASSEMBLY
3913170402,CABLE TRAY
39131705,CABLE TRAY FITTING AND ACCESSORIES
39131706,ELECTRICAL CONDUIT
39131710,WIREWAY
39131712,WIRING DUCT
39131713,WIRING DUCT FITTING AND ACCESSORIES
40101510,VENTILATION TUBING
40101512,VENTILATION TUBE FITTINGS
40101601,BLOWERS
40101603,IMPELLERS
40101604,FANS
40101605,FAN GUARDS OR ACCESSORIES
40101608,FAN FILTER UNIT
40101720,UNIT COOLER
40101727,RADIATOR COOLER
40101802,HEAT EXCHANGERS
40101815,IMMERSION HEATERS
40101819,SPACE HEATERS
40101830,HEATER ELEMENTS
40101835,PLATE HEAT EXCHANGER
40101902,DEHUMIDIFIERS
40141605,SOLENOID VALVES
40141607,BALL VALVES
40141608,HYDRAULIC VALVES
40141678,BUTTERFLY VALVES
4014172001,PLUMBING CONNECTORS-ISO 8434-1
4014172002,PLUMBING CONNECTORS-ISO 8434-2
4014172003,PLUMBING CONNECTORS-ISO 8434-6
40141731,NOZZLES
40141734,HOSE FITTING
40141736,GREASE FITTING
40141741,ORIFICE FITTINGS
40141746,SIGHT GLASS
40141761,PIPING MANIFOLD
40141764,HOSE ASSEMBLY
40141901,FLEXIBLE DUCTS
40141902,RIGID DUCTS
40142002,AIR HOSES
40142007,SPECIAL HOSES
40142020,HYDRAULIC HOSE
40151502,VACUUM PUMPS
40151503,CENTRIFUGAL PUMPS
40151506,HAND PUMPS
40151510,WATER PUMPS
4015152401,OIL PUMPS
4015152402,OIL PUMPS ASSEMBLY
4015153301,HYDRAULIC PUMPS
4015153302,HYDRAULIC PUMPS ASSEMBLY WITH MOTOR
40151580,LUBRICATOR PUMP
40151601,AIR COMPRESSORS
40151728,PUMP REPAIR KITS
40161505,AIR FILTERS
40161506,FILTERING MACHINERY
40161508,BAG FILTERS
40161512,ELECTRONIC FILTERS
40161515,HYDRAULIC FILTERS
40161525,HOUSINGS FOR FILTERS
40161531,FILTER ASSEMBLY
40161807,FILTER ELEMENT
40171501,COMMERCIAL WELDED CARBON STEEL PIPE
40171601,INDUSTRIAL WELDED CARBON STEEL PIPE
40171602,INDUSTRIAL SEAMLESS CARBON STEEL PIPE
40171621,INDUSTRIAL WELDED STAINLESS STEEL PIPE
40171622,INDUSTRIAL SEAMLESS STAINLESS STEEL PIPE
4017180101,BASE FLANGE
4017180102,TEMPLATE/LD FLANGE
40171802,FLANGES
40172910,RUBBER PIPE EXPANSION JOINT
40173402,CARBON STEEL PIPE PLATE FLANGE
40173406,STAINLESS STEEL PIPE PLATE FLANGE
40173502,CARBON STEEL PIPE PLUG
4018170501,WELDED ALUMINUM CHAMFERED TUBE-ROUND
4018170502,WELDED ALUMINUM CHAMFERED TUBE-SQUARE/RECTANGLE
40181706,WELDED ALUMINUM TUBE ASSEMBLY
4018180501,WELDED STEEL CHAMFERED TUBE-ROUND
4018180502,WELDED STEEL CHAMFERED TUBE-SQUARE/RECTANGLE
40181806,WELDED STEEL TUBE ASSEMBLY
4018190101,WELDED STAINLESS STEEL BENT TUBE-ROUND
4018190102,WELDED STAINLESS STEEL BENT TUBE-SQUARE/RECTANGLE
4018190301,WELDED STAINLESS STEEL END FORMED TUBE-ROUND
4018190302,WELDED STAINLESS STEEL END FORMED TUBE-SQUARE/RECTANGLE
4018190501,WELDED STAINLESS STEEL CHAMFERED TUBE-ROUND
40181906,WELDED STAINLESS STEEL TUBE ASSEMBLY
4018230101,SEAMLESS STEEL BENT TUBE-ROUND
4018230102,SEAMLESS STEEL BENT TUBE-SQUARE/RECTANGLE
4018230501,SEAMLESS STEEL CHAMFERED TUBE-ROUND
4018230502,SEAMLESS STEEL CHAMFERED TUBE-SQUARE/RECTANGLE
40182306,SEAMLESS STEEL TUBE ASSEMBLY
4018240101,SEAMLESS STAINLESS STEEL BENT TUBE-ROUND
4018240102,SEAMLESS STAINLESS STEEL BENT TUBE-SQUARE/RECTANGLE
4018240301,SEAMLESS STAINLESS STEEL END FORMED TUBE-ROUND
4018240302,SEAMLESS STAINLESS STEEL END FORMED TUBE-SQUARE/RECTANGLE
4018240501,SEAMLESS STAINLESS STEEL CHAMFERED TUBE-ROUND
4018240502,SEAMLESS STAINLESS STEEL CHAMFERED TUBE-SQUARE/RECTANGLE
40182406,SEAMLESS STAINLESS STEEL TUBE ASSEMBLY
4018270501,EXTRUDED ALUMINUM CHAMFERED TUBE-ROUND
4018270502,EXTRUDED ALUMINUM CHAMFERED TUBE-SQUARE/RECTANGLE
40183002,PVC PLASTIC TUBING
4018300201,PVC PLASTIC TUBING ASSEMBLY
4018300202,PVC PLASTIC TUBING COMPONENT
40183004,HDPE PLASTIC TUBING
41102412,HOT AIR BLOWERS
41103311,MANOMETERS
41104213,DISTILLED OR DEIONIZED WATER
41111604,RULERS
41111605,STRAIN GAUGES
41111613,DISTANCE METERS
41111615,LASER MEASURING SYSTEMS
41111617,FEELER GAUGES
41111619,GO OR NO GO GAUGE
41111621,CALIPERS
41111622,MICROMETER CALIPERS
41111626,GAUGE BLOCK
41111630,DIAL INDICATOR OR DIAL GAUGE
41111716,BORESCOPE INSPECTION EQUIPMENT
41111717,BINOCULARS
41111901,COUNTERS
41111907,DIGITAL READOUT RECORDERS
41111921,SPEED SENSORS
41111926,PROXIMITY SENSORS
41111927,PRESSURE SENSORS
41111928,CURRENT SENSORS
41111931,FLOW SENSORS
41111934,FORCE OR TORQUE SENSORS
41111938,LEVEL SENSORS OR TRANSMITTERS
41111942,OPACITY OR DUST OR VISIBILITY SENSORS
41111945,LINEAR POSITION SENSORS
41111960,ULTRASONIC SENSOR
4111196601,HUMIDITY SENSORS-HUMIDITY MEASUREMENT
4111196602,HUMIDITY SENSORS-HUMIDITY & TEMPERATURE MEASUREMENT
41111967,LATERAL LONG YAW SENSOR
41111968,ANGULAR RATE SENSOR
41111970,TEMPERATURE SENSOR
41111973,PARTICLE COUNTER
41112103,FIBER SENSORS
41112108,LOAD CELLS
41112109,CURRENT TRANSDUCER
41112110,PRESSURE TRANSDUCER
41112209,THERMOSTATS
41112224,INFRARED THERMOMETER
41112301,HYGROMETERS
41112401,DEPTH GAUGES
41112404,PRESSURE REGULATOR
41112410,PRESSURE TRANSMITTERS
41112411,PRESSURE CONTROLLERS
41112412,PRESSURE GAUGE
41112514,OIL GAUGES
41112802,TACHOMETERS
41112901,DIRECTION FINDING COMPASSES
41113334,PAINT COATING TEST EQUIPMENT
41113601,AMMETERS
41113604,CAPACITANCE METERS
41113624,INSULATION TESTERS
41113630,MULTIMETERS
41113638,OSCILLOSCOPES
41113639,ACCELEROMETERS
41113650,FUNCTIONAL TESTER
41113664,PHASE SEQUENCE INDICATOR
41113668,CAPACITOR TESTER
41113678,CLAMP TESTER
41113708,POWER METERS
41113716,FIBER OPTIC FAULT LOCATORS
41114401,ANEMOMETERS
4111440110,ANEMOMETERS
4111440120,HANDHELD ANEMOMETERS
41114402,BAROMETERS
41114415,LIGHTNING ANALYSIS SYSTEM
41114427,WIND VANE
41114611,HARDNESS TESTERS
41115307,LASERS
41115313,HANDHELD REFRACTOMETERS OR POLARIMETERS
41116402,VIBRATION AND CONDITION MONITORING SYSTEM
42142608,MEDICAL SYRINGES WITHOUT NEEDLE
42171702,MOBILE MEDICAL SERVICES FIRST AID BLANKETS
42172001,MOBILE MEDICAL SERVICES FIRST AID KITS
42296339,ENDOSCOPE ACCESSORIES
43191501,MOBILE PHONES
4319151001,TWO WAY RADIOS
4319151002,TWO WAY RADIO ACCESSORIES
43201404,NETWORK INTERFACE CARDS
43201413,MAGNETIC STRIPE CARD
43201416,DATA ACQUISITION BOARD
43201503,CENTRAL PROCESSING UNIT CPU PROCESSORS
43201542,CONTROL UNIT
43201803,HARD DISK DRIVES
43201817,COMPACT DISC CD DRIVE
43202005,FLASH MEMORY STORAGE CARD
43202010,PEN OR FLASH DRIVE
43202201,TELEPHONE PIECE PARTS
43202205,KEYCAPS OR KEYTOPS OR KEYS
43211501,COMPUTER SERVERS
43211607,COMPUTER SPEAKERS
43211614,BLUETOOTH UNIVERSAL SERIAL BUS USB ADAPTER
43211617,UNIVERSAL SERIAL BUS USB EXTENSION CABLE
43211706,KEYBOARDS
43211708,COMPUTER MOUSE OR TRACKBALLS
43211711,SCANNERS
43211805,SERVICE KITS FOR STORAGE DEVICES
43211902,LIQUID CRYSTAL DISPLAY LCD PANELS OR MONITORS
43212104,INKJET PRINTERS
43212113,COMPACT DISC CD OR LABELING PRINTERS
43221706,RADIO ANTENNAS
43221721,RADIO FREQUENCY DATA COMMUNICATION EQUIPMENT
43221722,GLOBAL POSITIONING SYSTEM GPS ANTENNA
43222608,NETWORK REPEATERS
43222609,NETWORK ROUTERS
43222612,NETWORK SWITCHES
43222625,ACCESS SERVERS
43222628,MODEMS
43223303,DATACOM PATCH CORD
43223310,FIBER OPTIC CONNECTOR
43223339,FIBER OPTIC DISTRIBUTION BOX
43231512,LICENSE MANAGEMENT SOFTWARE
43232314,BUSINESS INTELLIGENCE AND DATA ANALYSIS SOFTWARE
43232608,INDUSTRIAL CONTROL SOFTWARE
43233004,OPERATING SYSTEM SOFTWARE
43233205,TRANSACTION SECURITY AND VIRUS PROTECTION SOFTWARE
44102904,AIR COMPRESSED SPRAY
44103105,INK CARTRIDGES
44111806,PROTRACTORS
44111912,WHITEBOARD ERASER
44121612,PAPER CUTTERS OR REFILLS
44121618,SCISSORS
44121708,MARKERS
44122003,BINDERS
44122109,HOOK AND LOOP FASTENER
45121504,DIGITAL CAMERAS
45121518,CAMERA KITS
45121521,INSPECTION CAMERA
45121603,CAMERA LENS
46171501,PADLOCKS
46171503,LOCK SETS
46171505,KEYS
46171523,MECHANICAL LOCK SYSTEM
46171604,ALARM SYSTEMS
46171610,SECURITY CAMERAS
46171613,GAS DETECTORS
46181501,PROTECTIVE APRONS
46181504,PROTECTIVE GLOVES
46181533,PROTECTIVE COATS
46181545,WATERPROOF SUIT
46181604,SAFETY BOOTS
46181605,SAFETY SHOES
46181704,SAFETY HELMETS
46181706,HELMET PARTS OR ACCESSORIES
46181802,SAFETY GLASSES
46181905,EAR PLUGS
46182005,MASK OR RESPIRATORS FILTERS OR ACCESSORIES
46182302,FALL PROTECTION LANYARD
46182304,ANCHORAGE CONNECTOR
46182309,SAFETY ROPE LADDERS AND WIRE ROPE LADDERS
46182314,SAFETY SLING
46182399,"FALL PROTECTION EQUIPMENT, GENERIC"
46182507,ELECTROMAGNETIC INTERFERENCE EMI SHIELDING MATERIAL
46191501,SMOKE DETECTORS
46191512,SOUND FIELD DETECTING DEVICE
46191601,FIRE EXTINGUISHERS
46191604,FIRE BLANKETS
4619160801,FSS COMPLETE SYSTEM
4619160802,FSS CYLINDER
4619160803,FSS HOSE
4619160804,FSS PRESSURE SWITCH
4619160805,FSS VALVE
4619160806,FSS NOZZLE
4619160807,FSS ACTUATOR
46191613,FIRE EXTINGUISHING AGENT
47121602,VACUUM CLEANERS
47131502,CLEANING CLOTHS OR WIPES
47131601,DUST BRUSHES OR PANS
47131604,BROOMS
47131618,WET MOPS
47131805,GENERAL PURPOSE CLEANERS
47131821,DEGREASING COMPOUNDS
47131825,CONTACT SURFACE CLEANERS
47131902,GRANULAR ABSORBENT
50202301,WATER
52161512,LOUDSPEAKERS
53101502,MENS SLACKS OR TROUSERS OR SHORTS
53101602,MENS SHIRTS
53101802,MENS COATS OR JACKETS
53102102,MENS OVERALLS OR COVERALLS
53102402,SOCKS
53103001,MENS TSHIRTS
53112101,MENS OVERSHOES
53131610,EYE CARE SUPPLIES
53131627,HAND CLEANER
53131634,CHEMICAL PROTECTION PRODUCTS
53141605,SEWING NEEDLES
55101516,OPERATION OR INSTRUCTION MANUALS
55101520,INSTRUCTION SHEETS OR BOOKLETS
55121620,MULTIPURPOSE LABELS
55121701,METALLIC NAMEPLATES
55121702,NON METALLIC NAMEPLATES
55121704,SAFETY SIGNS
55121725,SIGNAGE KITS
57060201,JERRY CANS
57070105,"PERSONAL PROTECTION EQUIPMENT, POWER AND WATER SUPPLY"
60121305,ROTARY PAPER OR FABRIC CUTTER
78141703,MARINE NAVIGATIONAL OR COMMUNICATION SERVICES
4619160808,FSS AEROSOL
26111802,GEARED TIMING BELTS
